createdAt,source,target,number
2016-09-15 16:18:26+00:00,ggevay,ramkrish86,2496
2016-09-16 11:34:11+00:00,mxm,vijikarthi,2275
2016-09-16 12:16:19+00:00,mxm,alkagin,2149
2016-09-19 11:21:34+00:00,ggevay,ramkrish86,2510
2016-09-19 13:30:47+00:00,fhueske,mushketyk,2430
2016-09-19 14:31:23+00:00,fhueske,apivovarov,2490
2016-09-19 15:37:43+00:00,fhueske,delding,2332
2016-09-19 18:50:52+00:00,StephanEwen,zentol,2484
2016-09-19 19:11:22+00:00,StephanEwen,StefanRRichter,2513
2016-09-19 19:23:20+00:00,fhueske,nielsbasjes,2330
2016-09-19 19:53:15+00:00,StephanEwen,greghogan,2465
2016-09-20 09:44:05+00:00,fhueske,twalthr,2304
2016-09-20 10:25:08+00:00,fhueske,twalthr,2303
2016-09-20 12:25:25+00:00,mxm,tillrohrmann,2472
2016-09-20 12:33:31+00:00,tillrohrmann,StefanRRichter,2513
2016-09-20 16:34:45+00:00,greghogan,alpinegizmo,2519
2016-09-21 12:49:29+00:00,fhueske,twalthr,2468
2016-09-21 14:32:41+00:00,aljoscha,alpinegizmo,2525
2016-09-21 14:57:47+00:00,aljoscha,kl0u,2434
2016-09-22 09:37:57+00:00,aljoscha,StefanRRichter,2533
2016-09-22 18:46:53+00:00,greghogan,s1ck,2527
2016-09-23 11:51:32+00:00,zentol,gaborhermann,2542
2016-09-23 12:51:20+00:00,fhueske,twalthr,2500
2016-09-23 12:57:35+00:00,zentol,ex00,2517
2016-09-23 13:52:53+00:00,mbalassi,gaborhermann,2542
2016-09-23 14:12:14+00:00,fhueske,twalthr,2504
2016-09-23 16:55:58+00:00,aljoscha,StephanEwen,2544
2016-09-23 20:14:32+00:00,StefanRRichter,StephanEwen,2544
2016-09-26 08:08:28+00:00,twalthr,greghogan,2545
2016-09-26 10:00:30+00:00,uce,StephanEwen,2444
2016-09-26 13:20:41+00:00,mxm,twalthr,2549
2016-09-27 06:44:13+00:00,tzulitai,rmetzger,2369
2016-09-27 13:15:59+00:00,StephanEwen,tillrohrmann,2555
2016-09-27 16:08:57+00:00,StephanEwen,shijinkui,2541
2016-09-28 07:53:05+00:00,thvasilo,gaborhermann,2542
2016-09-28 10:21:54+00:00,zentol,lw-lin,2556
2016-09-28 10:35:59+00:00,zentol,kirill-morozov-epam,2477
2016-09-28 12:13:35+00:00,StephanEwen,kl0u,2546
2016-09-28 12:28:45+00:00,tzulitai,StephanEwen,2559
2016-09-28 13:10:47+00:00,twalthr,shijinkui,2460
2016-09-28 13:50:06+00:00,twalthr,wuchong,2560
2016-09-28 14:27:33+00:00,twalthr,wuchong,2553
2016-09-29 14:54:15+00:00,greghogan,jaxbihani,2568
2016-09-29 15:20:32+00:00,uce,tillrohrmann,2569
2016-09-29 19:39:38+00:00,vasia,mushketyk,2564
2016-09-29 20:19:16+00:00,greghogan,mushketyk,2564
2016-09-30 03:53:06+00:00,tzulitai,StephanEwen,2574
2016-09-30 22:31:45+00:00,skonto,sachingoel0101,757
2016-10-01 01:55:23+00:00,tzulitai,static-max,2579
2016-10-04 19:00:38+00:00,StephanEwen,StefanRRichter,2583
2016-10-04 20:36:04+00:00,fhueske,twalthr,2562
2016-10-05 07:55:45+00:00,tillrohrmann,nguraja,2592
2016-10-06 08:44:31+00:00,uce,tillrohrmann,2600
2016-10-06 12:08:43+00:00,uce,StefanRRichter,2583
2016-10-06 15:08:59+00:00,mxm,skrishnappa,2518
2016-10-06 15:09:00+00:00,uce,StefanRRichter,2584
2016-10-10 09:08:43+00:00,StephanEwen,liuyuzhong,2439
2016-10-10 10:11:56+00:00,rmetzger,tzulitai,2580
2016-10-10 12:06:12+00:00,fhueske,qingdao81,2612
2016-10-10 12:34:01+00:00,fhueske,kirill-morozov-epam,2477
2016-10-10 13:32:54+00:00,rmetzger,tzulitai,2585
2016-10-11 11:58:02+00:00,tillrohrmann,uce,2608
2016-10-11 14:31:53+00:00,tillrohrmann,uce,2609
2016-10-11 14:40:29+00:00,StephanEwen,twalthr,2621
2016-10-11 14:46:01+00:00,mxm,rmetzger,2622
2016-10-11 15:03:23+00:00,zentol,kl0u,2618
2016-10-11 19:34:17+00:00,nssalian,kl0u,2618
2016-10-12 01:47:56+00:00,koeninger,tzulitai,2509
2016-10-12 13:25:10+00:00,rmetzger,tzulitai,2509
2016-10-12 13:32:23+00:00,mxm,kl0u,2618
2016-10-12 18:30:50+00:00,greghogan,vasia,2606
2016-10-13 12:23:34+00:00,aljoscha,rmetzger,2386
2016-10-13 20:48:47+00:00,fhueske,gallenvara,1975
2016-10-14 08:43:33+00:00,StephanEwen,bjlovegithub,2629
2016-10-14 14:35:02+00:00,mxm,vijikarthi,2589
2016-10-14 15:12:20+00:00,greghogan,kenmy,2637
2016-10-14 19:48:16+00:00,fhueske,twalthr,2619
2016-10-14 20:10:05+00:00,fhueske,twalthr,2319
2016-10-17 09:57:02+00:00,fhueske,manuzhang,2645
2016-10-17 13:35:23+00:00,StephanEwen,greghogan,2639
2016-10-17 13:41:41+00:00,StephanEwen,kenmy,2637
2016-10-17 14:55:35+00:00,aljoscha,StefanRRichter,2648
2016-10-18 08:02:06+00:00,StephanEwen,uce,2652
2016-10-18 13:38:17+00:00,StefanRRichter,aljoscha,2570
2016-10-19 08:33:53+00:00,mxm,vijikarthi,2425
2016-10-19 16:49:19+00:00,rmetzger,zentol,2636
2016-10-20 08:32:47+00:00,kl0u,aljoscha,2570
2016-10-20 09:14:34+00:00,mxm,sedgewickmm18,2667
2016-10-20 09:51:45+00:00,ggevay,greghogan,2628
2016-10-21 09:37:51+00:00,mxm,greghogan,2662
2016-10-21 10:24:40+00:00,zentol,ex00,2650
2016-10-21 10:58:43+00:00,rmetzger,mushketyk,2448
2016-10-21 11:19:30+00:00,zentol,mushketyk,2448
2016-10-21 11:34:16+00:00,mxm,manuzhang,2671
2016-10-22 20:08:09+00:00,fhueske,kenmy,2637
2016-10-24 10:26:07+00:00,fhueske,twalthr,2521
2016-10-24 13:41:45+00:00,rmetzger,philippbussche,2683
2016-10-24 14:14:16+00:00,rmetzger,zentol,2616
2016-10-24 19:35:49+00:00,fhueske,ggevay,2094
2016-10-25 07:46:06+00:00,zentol,philippbussche,2683
2016-10-26 09:13:34+00:00,StephanEwen,zhuhaifengleon,2693
2016-10-26 15:08:21+00:00,StephanEwen,zentol,2418
2016-10-26 18:40:14+00:00,iampeter,mushketyk,2431
2016-10-26 19:21:33+00:00,StephanEwen,uce,2690
2016-10-26 20:49:49+00:00,fhueske,tonycox,2686
2016-10-27 09:59:09+00:00,zentol,zhuhaifengleon,2693
2016-10-27 12:55:08+00:00,StephanEwen,StefanRRichter,2691
2016-10-27 13:53:07+00:00,aljoscha,StefanRRichter,2691
2016-10-27 15:15:08+00:00,StefanRRichter,aljoscha,2572
2016-10-27 15:52:01+00:00,StephanEwen,chermenin,2623
2016-10-27 17:10:42+00:00,StephanEwen,tillrohrmann,2699
2016-10-28 10:51:29+00:00,wuchong,tonycox,2686
2016-10-28 12:46:16+00:00,mxm,kl0u,2718
2016-10-28 13:50:28+00:00,uce,tillrohrmann,2700
2016-10-28 17:04:24+00:00,tillrohrmann,StefanRRichter,2691
2016-10-28 20:29:39+00:00,zentol,rmetzger,2724
2016-10-29 04:31:00+00:00,wuchong,tonycox,2720
2016-10-31 08:25:52+00:00,zentol,zhuhaifengleon,2727
2016-10-31 12:37:27+00:00,zentol,uce,2714
2016-10-31 13:29:24+00:00,zentol,tillrohrmann,2699
2016-10-31 13:47:39+00:00,StefanRRichter,uce,2712
2016-10-31 15:00:02+00:00,aljoscha,StefanRRichter,2717
2016-10-31 15:59:02+00:00,fhueske,chermenin,2723
2016-10-31 16:57:44+00:00,fhueske,tonycox,2720
2016-10-31 19:19:44+00:00,kl0u,aljoscha,2685
2016-11-02 09:52:37+00:00,zentol,kl0u,2707
2016-11-02 17:20:35+00:00,tillrohrmann,bjlovegithub,2629
2016-11-03 15:14:08+00:00,mbalassi,ggevay,2094
2016-11-03 15:36:36+00:00,aljoscha,kl0u,2747
2016-11-03 15:53:25+00:00,aljoscha,soniclavier,2736
2016-11-03 16:44:22+00:00,uce,attachmentgenie,2680
2016-11-03 16:54:02+00:00,greghogan,tfournier314,2740
2016-11-03 17:18:31+00:00,uce,rmetzger,2724
2016-11-04 11:49:03+00:00,greghogan,rmetzger,2724
2016-11-04 12:33:42+00:00,StephanEwen,uce,2748
2016-11-04 13:05:32+00:00,sunjincheng121,wuchong,2653
2016-11-04 13:06:35+00:00,StephanEwen,vijikarthi,2425
2016-11-04 13:18:12+00:00,uce,greghogan,2708
2016-11-04 13:35:30+00:00,mxm,greghogan,2708
2016-11-04 13:54:26+00:00,aljoscha,StefanRRichter,2746
2016-11-05 02:59:47+00:00,soniclavier,Renkai,2355
2016-11-05 09:30:56+00:00,wuchong,miaoever,2758
2016-11-07 10:40:17+00:00,aljoscha,Renkai,2355
2016-11-07 11:01:23+00:00,zentol,kl0u,2759
2016-11-07 16:35:23+00:00,tillrohrmann,kl0u,2765
2016-11-08 01:57:49+00:00,manuzhang,VenturaDelMonte,2756
2016-11-08 13:28:17+00:00,StephanEwen,shixiaogang,2768
2016-11-08 15:35:16+00:00,tillrohrmann,StephanEwen,2754
2016-11-08 18:07:10+00:00,tillrohrmann,mxm,2732
2016-11-09 13:31:56+00:00,thvasilo,tfournier314,2740
2016-11-09 14:25:50+00:00,StefanRRichter,Renkai,2729
2016-11-09 14:26:36+00:00,aljoscha,mxm,2732
2016-11-09 23:50:07+00:00,fhueske,wuchong,2653
2016-11-10 17:13:01+00:00,greghogan,mushketyk,2457
2016-11-11 16:58:33+00:00,tzulitai,StephanEwen,2789
2016-11-11 21:06:44+00:00,iampeter,mushketyk,2467
2016-11-11 21:12:47+00:00,iampeter,mushketyk,2457
2016-11-11 23:18:05+00:00,EronWright,Makman2,2703
2016-11-12 14:42:13+00:00,wuchong,sunjincheng121,2792
2016-11-14 13:43:06+00:00,aljoscha,VenturaDelMonte,2756
2016-11-14 13:59:44+00:00,zentol,ddolzan,2790
2016-11-14 15:21:05+00:00,greghogan,bitchelov,2802
2016-11-14 21:47:42+00:00,zentol,NicoK,2805
2016-11-15 10:34:51+00:00,twalthr,miaoever,2758
2016-11-15 13:36:38+00:00,zentol,kl0u,2797
2016-11-16 14:06:17+00:00,StephanEwen,melentye,2804
2016-11-17 10:10:02+00:00,fhueske,twalthr,2818
2016-11-17 10:55:32+00:00,ex00,twalthr,2818
2016-11-17 10:56:04+00:00,fhueske,AlexanderShoshin,2811
2016-11-17 13:33:04+00:00,fhueske,mushketyk,2762
2016-11-17 14:11:13+00:00,twalthr,wuchong,2653
2016-11-17 22:57:14+00:00,fpompermaier,ddolzan,2790
2016-11-18 02:46:29+00:00,wuchong,tonycox,2810
2016-11-18 10:33:53+00:00,fhueske,sunjincheng121,2792
2016-11-18 12:34:17+00:00,zentol,NicoK,2829
2016-11-18 20:55:09+00:00,fhueske,twalthr,2511
2016-11-21 09:37:22+00:00,aljoscha,sunjincheng121,2792
2016-11-21 11:51:27+00:00,zentol,StefanRRichter,2837
2016-11-21 12:44:17+00:00,tillrohrmann,StefanRRichter,2837
2016-11-21 14:52:58+00:00,zentol,kl0u,2845
2016-11-21 15:16:54+00:00,greghogan,vasia,2842
2016-11-21 20:11:22+00:00,fhueske,ex00,2840
2016-11-22 12:01:39+00:00,StephanEwen,tzulitai,2822
2016-11-22 14:43:19+00:00,aljoscha,shixiaogang,2768
2016-11-22 14:47:46+00:00,mxm,BorisOsipov,2836
2016-11-22 19:28:43+00:00,fhueske,twalthr,2851
2016-11-23 10:55:52+00:00,thvasilo,gaborhermann,2838
2016-11-23 15:40:05+00:00,rmetzger,ddolzan,2790
2016-11-24 09:55:21+00:00,thvasilo,ch33hau,2761
2016-11-24 13:25:22+00:00,mxm,chermenin,2856
2016-11-25 15:35:07+00:00,zentol,bitchelov,2869
2016-11-27 12:52:20+00:00,zentol,BorisOsipov,2843
2016-11-28 09:12:52+00:00,fhueske,shijinkui,2875
2016-11-28 10:34:20+00:00,fhueske,tonycox,2810
2016-11-28 11:05:23+00:00,kl0u,aljoscha,2788
2016-11-28 13:43:57+00:00,StefanRRichter,aljoscha,2855
2016-11-29 17:47:37+00:00,mxm,EronWright,2827
2016-11-30 06:16:03+00:00,zentol,greghogan,2902
2016-11-30 10:56:00+00:00,zentol,shijinkui,2876
2016-11-30 12:48:16+00:00,zentol,mxm,2908
2016-11-30 19:06:03+00:00,greghogan,zhuhaifengleon,2809
2016-12-01 09:22:55+00:00,tzulitai,tony810430,2916
2016-12-01 10:53:19+00:00,Makman2,EronWright,2915
2016-12-01 14:17:49+00:00,mxm,EronWright,2915
2016-12-01 17:25:16+00:00,fhueske,NickolayVasilishin,2870
2016-12-01 18:45:49+00:00,StephanEwen,mxm,2917
2016-12-02 02:17:43+00:00,wuchong,beyond1920,2921
2016-12-02 13:14:15+00:00,aljoscha,kl0u,2871
2016-12-02 14:37:45+00:00,uce,zentol,2886
2016-12-02 15:19:08+00:00,tillrohrmann,StefanRRichter,2857
2016-12-04 13:29:39+00:00,uce,NicoK,2805
2016-12-05 13:34:34+00:00,uce,zentol,2944
2016-12-05 17:40:05+00:00,rmetzger,static-max,2861
2016-12-05 20:00:39+00:00,fhueske,greghogan,2901
2016-12-06 09:26:33+00:00,fpompermaier,static-max,2861
2016-12-06 10:26:21+00:00,fhueske,KurtYoung,2949
2016-12-06 10:42:32+00:00,StephanEwen,StefanRRichter,2781
2016-12-06 13:58:50+00:00,fhueske,beyond1920,2923
2016-12-06 15:53:03+00:00,fhueske,twalthr,2919
2016-12-07 09:25:11+00:00,vasia,greghogan,2832
2016-12-07 13:15:44+00:00,mxm,rohitagarwal003,2954
2016-12-08 06:56:52+00:00,beyond1920,fhueske,2926
2016-12-08 15:09:27+00:00,StephanEwen,tillrohrmann,2963
2016-12-08 16:03:55+00:00,tonycox,wuchong,2968
2016-12-08 17:19:01+00:00,fhueske,KurtYoung,2961
2016-12-08 20:58:33+00:00,uce,zentol,2972
2016-12-09 11:50:43+00:00,StephanEwen,StefanRRichter,2969
2016-12-09 13:47:49+00:00,fhueske,wuchong,2978
2016-12-09 13:56:40+00:00,StephanEwen,twalthr,2952
2016-12-09 13:57:28+00:00,zentol,kl0u,2939
2016-12-09 17:01:15+00:00,fhueske,wuchong,2968
2016-12-12 09:16:01+00:00,vasia,mushketyk,2984
2016-12-12 17:13:13+00:00,aljoscha,StefanRRichter,2966
2016-12-12 17:19:48+00:00,greghogan,mushketyk,2985
2016-12-12 18:00:15+00:00,mxm,Renkai,2928
2016-12-12 18:20:58+00:00,greghogan,mushketyk,2986
2016-12-13 10:12:52+00:00,mproch,bjlovegithub,2629
2016-12-13 11:01:04+00:00,aljoscha,StefanRRichter,2962
2016-12-13 11:49:19+00:00,zentol,StefanRRichter,2992
2016-12-14 09:38:39+00:00,fhueske,tonycox,3003
2016-12-14 10:40:43+00:00,StephanEwen,tony810430,3001
2016-12-14 11:22:04+00:00,StephanEwen,zentol,2887
2016-12-14 13:30:45+00:00,fhueske,NicoK,2764
2016-12-14 14:24:26+00:00,aljoscha,StefanRRichter,3005
2016-12-15 07:12:17+00:00,tzulitai,tony810430,3001
2016-12-15 10:23:53+00:00,tzulitai,tony810430,2914
2016-12-15 11:07:47+00:00,StephanEwen,chermenin,2723
2016-12-15 13:32:09+00:00,StephanEwen,shuai-xu,2903
2016-12-15 14:38:43+00:00,tillrohrmann,mxm,2917
2016-12-15 17:08:19+00:00,mxm,alpinegizmo,3013
2016-12-16 12:32:09+00:00,zentol,BorisOsipov,3019
2016-12-19 15:28:08+00:00,rmetzger,mikedias,2767
2016-12-20 02:00:22+00:00,wuchong,tonycox,3027
2016-12-20 10:12:35+00:00,rmetzger,StephanEwen,3029
2016-12-21 09:45:04+00:00,fhueske,wuchong,3020
2016-12-21 13:25:24+00:00,fhueske,mtunique,2977
2016-12-21 16:18:05+00:00,fhueske,ex00,3033
2016-12-22 09:54:13+00:00,fhueske,wuchong,3038
2016-12-23 11:25:43+00:00,wuchong,mushketyk,3039
2016-12-23 22:26:50+00:00,fhueske,tonycox,3027
2016-12-24 08:29:40+00:00,rmetzger,HungUnicorn,3036
2016-12-25 04:46:18+00:00,rohitagarwal003,mxm,2981
2016-12-27 15:53:45+00:00,fhueske,mushketyk,3039
2016-12-29 06:25:00+00:00,KurtYoung,chermenin,2976
2017-01-04 18:12:56+00:00,rmetzger,NicoK,3056
2017-01-05 10:38:56+00:00,tzulitai,medale,3054
2017-01-05 10:52:23+00:00,tzulitai,HungUnicorn,3036
2017-01-05 15:32:16+00:00,zentol,StephanEwen,3064
2017-01-05 15:58:48+00:00,StephanEwen,zentol,3067
2017-01-05 16:28:32+00:00,kl0u,rohitagarwal003,2929
2017-01-05 16:36:01+00:00,twalthr,NickolayVasilishin,2870
2017-01-06 09:55:44+00:00,Fokko,xhumanoid,2442
2017-01-06 11:25:04+00:00,StephanEwen,liuyuzhong7,3037
2017-01-06 13:17:39+00:00,twalthr,wuchong,2938
2017-01-06 15:19:55+00:00,twalthr,chermenin,2976
2017-01-09 10:34:41+00:00,uce,rehevkor5,3059
2017-01-09 10:41:48+00:00,tzulitai,tony810430,2925
2017-01-09 17:26:36+00:00,uce,shijinkui,3049
2017-01-09 18:52:23+00:00,shaoxuan-wang,sunjincheng121,3046
2017-01-10 02:01:01+00:00,tzulitai,mikedias,2767
2017-01-10 05:56:42+00:00,KurtYoung,twalthr,3063
2017-01-10 06:32:56+00:00,KurtYoung,heytitle,3080
2017-01-10 06:52:08+00:00,wuchong,twalthr,3063
2017-01-10 13:22:36+00:00,twalthr,KurtYoung,3062
2017-01-10 14:28:06+00:00,fhueske,beyond1920,3058
2017-01-10 15:09:17+00:00,greghogan,kaelumania,3086
2017-01-10 17:09:59+00:00,mxm,kaelumania,3086
2017-01-10 17:14:05+00:00,aljoscha,kl0u,3075
2017-01-10 19:25:24+00:00,KurtYoung,twalthr,3073
2017-01-11 14:06:35+00:00,zentol,heytitle,3080
2017-01-11 14:31:53+00:00,aljoscha,StefanRRichter,3074
2017-01-12 08:16:20+00:00,sachingoel0101,joerg84,3093
2017-01-12 09:37:29+00:00,fhueske,KurtYoung,3095
2017-01-12 12:38:12+00:00,zentol,,3090
2017-01-12 15:18:15+00:00,uce,zentol,3106
2017-01-13 09:17:41+00:00,uce,zhijiangW,3113
2017-01-13 10:15:01+00:00,rmetzger,tzulitai,3112
2017-01-13 10:58:48+00:00,KurtYoung,NickolayVasilishin,3040
2017-01-13 11:06:36+00:00,,,3090
2017-01-13 11:27:15+00:00,aljoscha,StefanRRichter,2948
2017-01-13 13:27:06+00:00,KurtYoung,wuchong,3107
2017-01-15 19:36:56+00:00,tzulitai,skidder,3078
2017-01-16 03:25:46+00:00,wuchong,docete,3111
2017-01-16 10:44:13+00:00,tillrohrmann,Fokko,3077
2017-01-16 12:42:18+00:00,zentol,StefanRRichter,3117
2017-01-16 13:18:21+00:00,uce,StefanRRichter,3117
2017-01-16 13:48:31+00:00,uce,NicoK,3120
2017-01-16 15:41:15+00:00,fhueske,twalthr,3126
2017-01-16 16:30:55+00:00,fpompermaier,tzulitai,3112
2017-01-17 01:23:10+00:00,KurtYoung,docete,3111
2017-01-17 12:46:34+00:00,skonto,thvasilo,1849
2017-01-17 13:52:30+00:00,zentol,tonycox,3127
2017-01-17 18:25:23+00:00,zentol,NicoK,3143
2017-01-18 08:10:22+00:00,rmetzger,shijinkui,3132
2017-01-18 10:14:12+00:00,twalthr,sunjincheng121,3150
2017-01-18 11:12:08+00:00,alpinegizmo,kl0u,3130
2017-01-18 11:14:35+00:00,StephanEwen,NicoK,3143
2017-01-18 14:22:14+00:00,wuchong,ramkrish86,3149
2017-01-18 15:52:21+00:00,tonycox,ramkrish86,3149
2017-01-19 08:26:01+00:00,fhueske,sunjincheng121,3150
2017-01-19 11:29:11+00:00,fhueske,lincoln-lil,3141
2017-01-19 11:44:38+00:00,tillrohrmann,zentol,2974
2017-01-19 13:32:32+00:00,fhueske,sunjincheng121,3046
2017-01-20 09:04:26+00:00,wuchong,godfreyhe,3176
2017-01-20 12:01:34+00:00,uce,NicoK,3143
2017-01-20 12:05:48+00:00,uce,NicoK,3171
2017-01-20 15:21:51+00:00,uce,NicoK,3139
2017-01-20 15:36:28+00:00,twalthr,wuchong,3118
2017-01-20 15:58:44+00:00,uce,NicoK,3172
2017-01-21 20:35:37+00:00,fhueske,ch33hau,2761
2017-01-22 16:11:55+00:00,shaoxuan-wang,StephanEwen,3186
2017-01-23 04:56:53+00:00,tzulitai,tillrohrmann,3157
2017-01-23 07:37:13+00:00,chermenin,mushketyk,2361
2017-01-23 08:45:20+00:00,chermenin,mushketyk,2396
2017-01-23 09:30:37+00:00,StefanRRichter,tillrohrmann,3178
2017-01-23 09:37:27+00:00,tillrohrmann,StefanRRichter,3182
2017-01-23 09:49:42+00:00,uce,tillrohrmann,3159
2017-01-23 09:56:56+00:00,fhueske,kl0u,3180
2017-01-23 09:58:58+00:00,StephanEwen,kl0u,3180
2017-01-23 10:08:40+00:00,StefanRRichter,tillrohrmann,3179
2017-01-23 11:27:10+00:00,twalthr,chermenin,3026
2017-01-23 12:37:05+00:00,StephanEwen,zentol,2866
2017-01-23 13:15:12+00:00,uce,zentol,3128
2017-01-23 16:15:15+00:00,twalthr,tonycox,3127
2017-01-24 06:29:29+00:00,tzulitai,chermenin,2937
2017-01-24 09:06:19+00:00,uce,NicoK,3194
2017-01-24 09:44:58+00:00,aljoscha,tzulitai,3185
2017-01-24 10:55:05+00:00,tillrohrmann,StefanRRichter,3198
2017-01-24 11:20:10+00:00,uce,StefanRRichter,3198
2017-01-24 13:02:30+00:00,rmetzger,shijinkui,3049
2017-01-24 14:11:33+00:00,aljoscha,StefanRRichter,3198
2017-01-24 16:40:29+00:00,uce,StefanRRichter,3200
2017-01-25 08:36:45+00:00,ex00,ramkrish86,3149
2017-01-25 10:14:31+00:00,zentol,mushketyk,3206
2017-01-25 11:17:22+00:00,tzulitai,MayerRoman,3031
2017-01-25 12:34:07+00:00,StephanEwen,mushketyk,3206
2017-01-25 13:09:52+00:00,aljoscha,StephanEwen,3207
2017-01-25 14:27:47+00:00,zentol,BorisOsipov,2836
2017-01-25 14:31:47+00:00,kl0u,mushketyk,2361
2017-01-25 16:46:03+00:00,aljoscha,kl0u,3191
2017-01-25 22:49:15+00:00,billliuatuber,haohui,3202
2017-01-26 13:25:35+00:00,twalthr,godfreyhe,3101
2017-01-26 16:00:17+00:00,fhueske,kl0u,3191
2017-01-27 16:39:27+00:00,aljoscha,alpinegizmo,3184
2017-01-28 22:21:29+00:00,mikedias,tzulitai,3112
2017-01-30 13:35:06+00:00,zentol,GEOFBOT,3232
2017-01-30 14:42:41+00:00,skonto,sachingoel0101,3192
2017-01-30 16:21:38+00:00,StephanEwen,zentol,3219
2017-01-31 07:58:41+00:00,kateri1,kalmanchapman,2735
2017-01-31 10:36:58+00:00,aljoscha,StefanRRichter,2992
2017-01-31 11:15:24+00:00,zentol,fhueske,3217
2017-01-31 13:13:10+00:00,StephanEwen,fhueske,3217
2017-01-31 16:35:12+00:00,aljoscha,StephanEwen,3243
2017-02-01 00:21:05+00:00,fhueske,ramkrish86,3149
2017-02-02 06:59:03+00:00,tzulitai,tillrohrmann,3236
